Funding Sentences,Funding Sources
"Governments should
also fund research into how best to facilitate the sharing of private
data accessible via advanced encryption and other privacy-preserving
measures",[]
"eu
23

32

CLIMATE CHANGE AND AI: RECOMMENDATIONS FOR GOVERNMENT ACTION

GPAI member countries (and others) could collaborate to jointly
fund the development of an international catalogue for opensource climate-relevant data, models and software, which would
link practitioners to datasets and data portals available from disparate
sources and would offer a catalogue for AI models for climate-relevant
tasks to allow projects to build on top of each other’s work",['AI']
"Technology research is predominantly
funded by governments through
universities or research institutes, or by
companies with sufficient funding to
develop long-term research programs",[]
"Governments could fund or develop cross-functional multiuniversity research coalitions around these challenges combining AI and
sector-specific researchers",['AI']
Fund the development of compute and simulation assets for AI-forclimate research,['AI']
"For example,
innovation support processes
in many energy sectors is often
grant-funded, but lacks clarity on

CLIMATE CHANGE AND AI: RECOMMENDATIONS FOR GOVERNMENT ACTION

CASE STUDY
The Arup Neuron
system, deployed
in buildings around
Hong Kong and
elsewhere, uses AIbased optimization
tools and sensor
data to boost
building energy
efficiency by 10-30%",[]
"USE CASE SIDE PANEL: RTE
Governments and regulated industries should set up and co-fund
public-private investment groups to co-invest in startups offering
digital services to regulated industries",['RTE\r\nGovernments']
"Fund interdisciplinary higher education, research, and professional
programs bridging AI and individual climate-relevant sectors (e",['AI']
"In particular,
governments should fund master’s programs, professional training
programs, and interdisciplinary research grants (see Research and
Innovation Funding) at the intersection of AI and key climate-relevant
sectors","['Research', 'AI']"
"RESEARCH, DEVELOPMENT, DEPLOYMENT, AND GOVERNANCE
CAPACITY
Fund or facilitate secondment programs for AI experts within climaterelevant sectors",['AI']
"Fund or incentivize the creation of trusted AI-for-climate solutions
providers and auditors",[]
"There
are a range of organizations and
governments that play a key role
in delivering climate finance
within the Global South, such as
the UN Green Climate Fund, the
Global Environment Facility (GEF),
UNEP, UNDP, the Multilateral
Development Banks (World Bank,
Asian Development Bank, African
Development Bank etc), and the
Adaptation Fund","['the UN Green Climate Fund', 'Global Environment Facility', 'GEF', 'UNEP', 'UNDP', 'the Multilateral\r\nDevelopment Banks (World Bank', 'Asian Development Bank', 'African\r\nDevelopment Bank']"
Grant,[]
", see Grant, W",['Grant']
"Grant, M",[]
", see Grant, W",['Grant']
", see Grant, W",['Grant']
", see Grant, W",['Grant']
", PAE-M Nov-Dec 2007 68-77
Grant, W",['PAE-M Nov-Dec']
",
Change in the air; PAE-M Nov-Dec 2009 47-58
Grant, W",['PAE-M Nov-Dec']
", PAE-M Nov-Dec 2005 57-64
Grant, W",['PAE-M Nov-Dec']
", PAE-M Nov-Dec 2005 38-46
Grant, W",['PAE-M Nov-Dec']
", see Grant, W",['Grant']
", Grant, W",['Grant']
", see Grant, W",['Grant']
", see Grant, W",['Grant']
", see Grant, W",['Grant']
", see Grant, W",['Grant']
"Grant, W",[]
"Grant, W",[]
"Grant, W",[]
"Grant, W",[]
"Grant, W",[]
"Funding: This research was funded by Natural Science and Engineering Research Council of Canada
(NSERC) grant number N00271 and by the Gina Cody School of Engineering and Computer Science
grant number VE0017","['Natural Science and Engineering Research Council of Canada', 'NSERC', 'the Gina Cody School of Engineering and Computer Science']"
"Acknowledgments: The authors would like to acknowledge the financial support of Natural Sciences
and Engineering Research Canada and the Faculty of Engineering and Computer Science of Concordia
University","['Natural Sciences', 'Engineering Research Canada', 'the Faculty of Engineering and Computer Science of Concordia\r\nUniversity']"
"This project has received funding from
the European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant
agreement No 801199 (Emanuele Bugliarello)",['the European Union’s Horizon 2020']
"The work
of Fangyu Liu has been supported by Grace & Thomas C",['Grace & Thomas C']
"The work of Jonas Pfeiffer
has been supported by the LOEWE initiative (Hesse, Germany) within the emergenCITY center",[]
"The work of Ivan
Vulić has been supported by the ERC PoC Grant MultiConvAI (no","['Ivan\r\nVulić', 'ERC']"
The work of Edoardo Ponti and Siva Reddy has been supported by the Facebook CIFAR AI Chair program,"['Edoardo Ponti', 'the Facebook CIFAR AI Chair']"
"The
annotation cost is partially funded by Cambridge Digital
Humanities Digitisation/Digital Resources Awards and the
NSERC Discovery Grant","['Cambridge Digital\r\nHumanities Digitisation/Digital Resources Awards', 'NSERC']"
"Today, Merging Units (MUs) play a significant role in an IEC

The work in this paper is supported by grants from the United States
Department of Energy (DoE)",['Merging Units']
"Coastal and port States incur substantial expenditure in providing physical aids to navigation,
whether funded by the public purse or met by the
shipowner through dues levied on port traffic",['Coastal']
"6 integrate and present information onboard and
ashore in a format which, when supported by
appropriate training for users, maximises
navigational safety benefits and minimises risks
of confusion or misinterpretation",[]
"ACKNOWLEDGMENT
The authors would like to acknowledge the National Defense University of Malaysia
(UPNM) for their financial support under the grant number UPNM/2021/GPPP/TK/3","['the National Defense University of Malaysia', 'UPNM', 'GPPP']"
"ACKNOWLEDGEMENT
The authors would like to thank Universiti Teknikal Malaysia Melaka (UTeM) and the Ministry of
Higher Education Malaysia for funding this research under the Fundamentals Grant Scheme
(FRGS/2018/FKEKK-CETRI/F00358)","['the Ministry of\r\nHigher Education', 'the Fundamentals Grant Scheme', 'FRGS/2018/FKEKK-CETRI/F00358']"
"For example, according
to the official estimation, the cumulative amount of aid money required to fund the MDGs in
the developing world was between $135 and $195 billion per year during 2005-2015
(Hasan, 2006), and a big proportion of this amount can be easily procured by global awqaf
itself",[]
